Review Date,Review Text,Star Rating
"Mar 10, 2025","Great app for investing and tracking portfolio.",5
"Mar 9, 2025",Good,4
"Mar 8, 2025","Slow login and confusing UI needs improvement.",2
"Mar 7, 2025","Very helpful for SIP and mutual funds.",5
"Mar 6, 2025",Ok,3
"Mar 5, 2025","Sometimes app crashes when opening reports.",1
"Mar 4, 2025","Clean design and easy to use for beginners.",5
"Mar 3, 2025",Bad,1
"Mar 2, 2025","Would love dark mode and better notifications.",4
"Mar 1, 2025","Best investment app I have used so far.",5
